AR|74|371|16/03/2006|465135447.0|465135447.0|P|16/03/2006|zizah|C|
AP|75|643|16/03/2006|2284765007.0|2284765007.0|P|16/03/2006|zizah|C|
CB|76|67|16/03/2006|929911580.46|929911580.46|P|16/03/2006|zizah|C|
AR|77|237|16/03/2006|365258137.0|365258137.0|P|16/03/2006|zizah|C|
AP|78|429|16/03/2006|1802636381.0|1802636381.0|P|16/03/2006|zizah|C|
CB|79|58|16/03/2006|1279131517.46|1279131517.46|P|16/03/2006|zizah|C|
AR|80|277|28/03/2006|520432501.0|520432501.0|P|28/03/2006|zizah|C|
AP|81|596|28/03/2006|2728056887.0|2728056887.0|P|28/03/2006|zizah|C|
CB|82|72|28/03/2006|1197968227.99|1197968227.99|P|28/03/2006|zizah|C|
AR|83|1337|20/04/2006|2247279079.0|2247279079.0|P|20/04/2006|zizah|C|
AP|84|489|20/04/2006|2030404065.0|2030404065.0|P|20/04/2006|zizah|C|
CB|85|49|20/04/2006|173688822.26|173688822.26|P|20/04/2006|zizah|C|
GL|86|19|24/04/2006|169320730.58|169320730.58|P|29/04/2006|zizah|C|
AR|87|1395|29/04/2006|2808605812.1|2808605812.1|P|29/04/2006|zizah|C|
AP|88|442|29/04/2006|1948717667.0|1948717667.0|P|29/04/2006|zizah|C|
CB|89|49|29/04/2006|203590034.92|203590034.92|P|29/04/2006|zizah|C|
AR|90|1|01/05/2006|90408976.0|90408976.0|P|01/05/2006|zizah|C|
GL|91|22|03/05/2006|164143915.16|164143915.16|P|03/05/2006|zizah|C|
AR|92|1476|03/05/2006|2606028928.2|2606028928.2|P|03/05/2006|zizah|C|
AP|93|541|03/05/2006|1936869690.0|1936869690.0|P|03/05/2006|zizah|C|
CB|94|67|03/05/2006|173848391.92|173848391.92|P|03/05/2006|zizah|C|
GL|95|143|10/05/2006|1119879587.75|1119879587.75|P|21/10/2006|zizah|C|
AP|96|4|14/06/2006|11056000.0|11056000.0|P|14/06/2006|lhhb|L|
AP|97|1|14/06/2006|120000.0|120000.0|P|14/06/2006|lhhb|L|
AR|98|2|16/06/2006|1294370.0|1294370.0|P|16/06/2006|lhhb|C|
GL|99|1|10/05/2006|9317932.0|9317932.0|P|27/07/2006|lhhb|H|
GL|100|1|25/09/2006|1513855.0|1513855.0|P|27/09/2006|lhhb|L|
AP|101|4|29/07/2006|153000.0|153000.0|P|29/07/2006|zizah|C|
AP|103|8|25/08/2006|93861512.0|93861512.0|P|25/08/2006|zizah|C|
AP|105|2|28/08/2006|8500300.0|8500300.0|P|28/08/2006|zizah|C|
AR|106|1373|01/09/2006|2281408922.6|2281408922.6|P|01/09/2006|zizah|C|
AP|107|508|01/09/2006|2222742623.0|2222742623.0|P|01/09/2006|zizah|C|
CB|108|43|01/09/2006|98013509.22|98013509.22|P|01/09/2006|zizah|C|
AP|109|9|26/09/2006|4864420.0|4864420.0|P|26/09/2006|zizah|L|
GL|110|7|29/09/2006|1242098892.0|1242098892.0|P|29/09/2006|lhhb|L|
GL|111|1|30/09/2006|9317932.0|9317932.0|P|30/09/2006|lhhb|L|
GL|112|3|02/10/2006|21872421.13|21872421.13|P|02/10/2006|zizah|C|
GL|113|4|03/10/2006|22332838.13|22332838.13|P|03/10/2006|zizah|C|
AP|114|6|03/10/2006|417749020.0|417749020.0|P|03/10/2006|zizah|C|
GL|115|1|03/10/2006|562500.0|562500.0|P|03/10/2006|zizah|C|
GL|116|3|03/10/2006|21766171.13|21766171.13|P|03/10/2006|zizah|C|
GL|117|3|04/10/2006|22210432.13|22210432.13|P|05/10/2006|zizah|C|
AP|119|2|05/10/2006|1948000.0|1948000.0|P|05/10/2006|zizah|C|
GL|120|5|05/10/2006|8051432.0|8051432.0|P|05/10/2006|zizah|C|
GL|121|1|06/10/2006|1395833.33|1395833.33|P|06/10/2006|zizah|C|
