EUR|RP|22/10/2011|12229.42|12206.53|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
USD|RP|23/10/2011|8868.0|8913.0|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
EUR|RP|23/10/2011|12229.42|12206.53|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
USD|RP|24/10/2011|8883.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
EUR|RP|24/10/2011|12311.85|12180.93|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
USD|RP|25/10/2011|8865.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
EUR|RP|25/10/2011|12318.37|12180.93|0.0|0.0|0.0|A|SCI|zizah|27/10/2011|zizah|27/10/2011|
USD|RP|26/10/2011|8870.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|26/10/2011|12350.6|12180.93|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|27/10/2011|8890.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|27/10/2011|12424.22|12180.93|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|28/10/2011|8784.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|28/10/2011|12509.72|12180.93|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|29/10/2011|8784.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|29/10/2011|12509.72|12180.93|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|30/10/2011|8784.0|8851.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|30/10/2011|12509.72|12180.93|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|31/10/2011|8835.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|31/10/2011|12418.92|12406.36|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|01/11/2011|8893.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|01/11/2011|12322.14|12406.36|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
USD|RP|02/11/2011|8975.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|02/11/2011|12295.3|12406.36|0.0|0.0|0.0|A|SCI|zizah|02/11/2011|zizah|02/11/2011|
EUR|RP|03/11/2011|12306.26|12406.36|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
USD|RP|03/11/2011|8983.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
EUR|RP|04/11/2011|12376.98|12406.36|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
USD|RP|04/11/2011|8962.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
EUR|RP|05/11/2011|12376.98|12406.36|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
USD|RP|05/11/2011|8962.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
EUR|RP|06/11/2011|12376.98|12406.36|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
USD|RP|06/11/2011|8962.0|8848.0|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
EUR|RP|07/11/2011|12317.54|12326.83|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
USD|RP|07/11/2011|8940.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|07/11/2011|zizah|07/11/2011|
EUR|RP|08/11/2011|12288.68|12326.83|0.0|0.0|0.0|A|SCI|zizah|09/11/2011|zizah|09/11/2011|
USD|RP|08/11/2011|8933.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|09/11/2011|zizah|09/11/2011|
EUR|RP|09/11/2011|12309.35|12326.83|0.0|0.0|0.0|A|SCI|zizah|09/11/2011|zizah|09/11/2011|
USD|RP|09/11/2011|8895.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|09/11/2011|zizah|09/11/2011|
EUR|RP|10/11/2011|12155.3|12326.83|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
USD|RP|10/11/2011|8975.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
EUR|RP|11/11/2011|12254.91|12326.83|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
USD|RP|11/11/2011|9005.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
EUR|RP|12/11/2011|12254.91|12326.83|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
USD|RP|12/11/2011|9005.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
EUR|RP|13/11/2011|12254.91|12326.83|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
USD|RP|13/11/2011|9005.0|8940.0|0.0|0.0|0.0|A|SCI|zizah|11/11/2011|zizah|11/11/2011|
EUR|RP|14/11/2011|12322.98|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|14/11/2011|8955.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|15/11/2011|12261.09|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|15/11/2011|8995.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|16/11/2011|12151.23|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|16/11/2011|9030.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|17/11/2011|12173.27|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|17/11/2011|9040.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|18/11/2011|12210.67|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|18/11/2011|9055.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|19/11/2011|12210.67|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|19/11/2011|9055.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|20/11/2011|12210.67|12243.52|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|20/11/2011|9055.0|8954.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|21/11/2011|12270.36|12144.28|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
USD|RP|21/11/2011|9070.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|22/11/2011|zizah|22/11/2011|
EUR|RP|22/11/2011|12191.38|12144.28|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
USD|RP|22/11/2011|9035.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
EUR|RP|23/11/2011|12156.6|12144.28|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
USD|RP|23/11/2011|9035.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
EUR|RP|24/11/2011|12166.31|12144.28|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
USD|RP|24/11/2011|9098.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
EUR|RP|25/11/2011|12002.33|12144.28|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
USD|RP|25/11/2011|9005.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
EUR|RP|26/11/2011|12002.33|12144.28|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
USD|RP|26/11/2011|9005.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|26/11/2011|zizah|26/11/2011|
USD|RP|27/11/2011|9005.0|8990.0|0.0|0.0|0.0|A|SCI|zizah|02/12/2011|zizah|02/12/2011|
EUR|RP|27/11/2011|12002.33|12144.28|0.0|0.0|0.0|A|SCI|zizah|02/12/2011|zizah|02/12/2011|
EUR|RP|28/11/2011|12120.29|12127.4|0.0|0.0|0.0|A|SCI|zizah|02/12/2011|zizah|02/12/2011|
USD|RP|28/11/2011|9100.0|9043.0|0.0|0.0|0.0|A|SCI|zizah|02/12/2011|zizah|02/12/2011|
