1|00-14919|1633500.0|0.0|PEMBATALAN ATAL 900 GONI||
57|00-21123|0.0|1462.0|||
58|00-14908|3658.0|0.0|BIAYA JASA ANALISA||
58|00-21123|0.0|3658.0|||
59|00-14903|36158.0|0.0|BIAYA JASA ANALISA||
59|00-21123|0.0|36158.0|||
60|00-14927|32781.0|0.0|BIAYA JASA ANALISA||
60|00-21123|0.0|32781.0|||
61|00-14903|107989.0|0.0|BIAYA JASA ANALISA||
61|00-21123|0.0|107989.0|||
62|00-14903|104838.0|0.0|BIAYA JASA ANALISA||
62|00-21123|0.0|104838.0|||
63|00-14902|12644.0|0.0|BIAYA JASA ANALISA||
63|00-21123|0.0|12644.0|||
64|00-14926|45001.0|0.0|BIAYA ADMINISTRASI||
64|01-81320|0.0|45001.0|||
65|00-14905|43474.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN NOVEMBER 2007|
65|00-21123|0.0|43474.0|||
66|00-14905|75151.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN NOVEMBER 2006|
66|00-21123|0.0|75151.0|||
67|00-14905|69271.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN DESEMBER 2007|
67|00-21123|0.0|69271.0|||
68|00-14905|37667.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN DESEMBER 2007|
68|00-21123|0.0|37667.0|||
69|00-14905|35904.0|0.0|BIAYA JASA ANALISA-TAX PPH 23||
69|00-21123|0.0|35904.0|||
70|00-14905|223322.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN APRIL 2008|
70|00-21123|0.0|223322.0|||
71|00-14902|11300.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN JULI 2007|
71|00-21123|0.0|11300.0|||
72|00-14902|13076.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BLN JULI 2007|
72|00-21123|0.0|13076.0|||
73|00-14930|567803.0|0.0|BIAYA JASA ANALISA-TAX PPH 23|INVOICE LAB BULAN APRIL 2008|
73|00-21123|0.0|567803.0|||
74|00-14907|10082.39|0.0|LEBIH BYR INV BULAN JULI 2007||
74|01-80402|0.0|10082.39|||
75|00-14907|37326.5|0.0|PERBEDAAN KARENA SELISIH KURS||
75|01-80402|0.0|37326.5|||
76|00-14922|29455.0|0.0|JASA ANALISA|TEST LAB BLN MARET 2007|
76|00-21123|0.0|29455.0|||
77|00-14903|105482.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN NOVEMBER 2006|
77|00-21123|0.0|105482.0|||
78|00-14903|26624.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN DESEMBER 2006|
78|00-21123|0.0|26624.0|||
79|00-14903|10765.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN JANUARI 2007|
79|00-21123|0.0|10765.0|||
80|00-14903|50108.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN JULI 2007|
80|00-21123|0.0|50108.0|||
81|00-14903|49907.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN JANUARI 2007|
81|00-21123|0.0|49907.0|||
82|00-14903|36272.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN MARET 2007|
82|00-21123|0.0|36272.0|||
83|00-14905|27732.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN MARET 2007|
83|00-21123|0.0|27732.0|||
84|00-14905|20064.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN JULI 2007|
84|00-21123|0.0|20064.0|||
85|00-14905|10451.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN AGUSTUS 2007|
85|00-21123|0.0|10451.0|||
86|00-14905|72310.0|0.0|BIAYA JASA ANALISA|TEST LAB SEPTEMBER 2007|
86|00-21123|0.0|72310.0|||
87|00-14907|45755.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN JANUARI 2007|
87|00-21123|0.0|45755.0|||
88|00-14907|25127.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN JANUARI 2007|
88|00-21123|0.0|25127.0|||
89|00-14907|85413.0|0.0|BIAYA JASA ANALISA|TEST LAB BLN MARET 2007|
89|00-21123|0.0|85413.0|||
90|00-14907|37326.5|0.0|PERBEDAAN KARENA SELISIH KURS||
90|01-80402|0.0|37326.5|||
91|00-14907|36843.75|0.0|PERBEDAAN KARENA SELISIH KURS|INV SCA0004S|
91|01-80402|0.0|36843.75|||
92|00-14902|131577.0|0.0|INVOICE LAB BLN APRIL 2008||
92|00-33603|0.0|131577.0|||
93|00-14902|14613.0|0.0|INVOICE LAB BLN MEI 2008||
93|00-33603|0.0|14613.0|||
94|00-14922|63237.0|0.0|BY JASA ANALISA,TAX PPH-23|INV.LAB BLN APRIL 2008|
94|00-33603|0.0|63237.0|||
95|00-14907|126958.0|0.0|BY JASA ANALISA,TAX PPH-23|INV.LAB BLN JULI 2007|
95|00-33603|0.0|126958.0|BY JASA ANALISA,MALINDO BREDER|INV.LAB BLN JUL'07|
96|00-14907|163453.0|0.0|BY.JASA ANALISA.TAX PPH-23|INV.LAB BLN AGUSTUS 2007|
96|00-33603|0.0|163453.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN AGUSTUS 2007|
97|00-14907|94643.0|0.0|BY.JASA ANALISA.TAX PPH-23|INV.LAB BLN SEPTEMBER 2007|
97|00-33603|0.0|94643.0|BY.JASA ANALISA,TAX PPH23|INV.LAB BLN SEPTEMBER 2007|
98|00-14907|264993.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN NOVEMBER 2007|
98|00-33603|0.0|264993.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN NOVEMBER 2007|
99|00-14907|297622.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN DESEMBER 2007|
